ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,state
2.7427788912541956e-05,6.33146996606313e-05,0.00018164665408843938,0.00021552675784008776,0.00017827574387750935,0.00045142923488869795,0.0002620075874178476,9.602771562742797e-05,0.0001952954296460838,0.00011820727144769898,0.00018307842165470216,0.00015241359886751022,0.00015266467754692517,0.00023907279859969828,0.00016733619387705414,0.0003005146687109594,0.0001373212417603375,0.00014296465831754653,9.697354334701055e-05,-5.289993620716036e-05,-0.06713175406679217
2.6448959122442395e-05,6.175861903729424e-05,0.00017811342583105085,0.00020878451511543829,0.00017256942062374243,0.0004348804937105404,0.000258524658848101,9.602771562742797e-05,0.00018867378547567985,0.00010861437454432097,0.00017878825573697067,0.0001495480991585327,0.00014475366799968892,0.00024062089662584078,0.0001545551538833626,0.00029467261146184025,0.00013198012288606506,0.00013649918627582972,9.049544185568023e-05,-5.710100181104368e-05,-0.06770251580670605
2.5180988609418744e-05,6.010255938875514e-05,0.0001742407873174256,0.0002016929829142749,0.00016622820938357467,0.00041769738386381695,0.00025487532021060695,9.602771562742797e-05,0.00018176162375033676,9.881118365286924e-05,0.00017364122722214625,0.00014634448326205314,0.00013650627720822163,0.000241908559541121,0.00014149089429533462,0.0002885029039173337,0.0001264226293763467,0.00012982541154657966,8.401872779040073e-05,-6.104266257720021e-05,-0.06827466569381568
2.3581475824928622e-05,5.8349817220897886e-05,0.00017003398757386927,0.00019425695718258874,0.00015926871465639695,0.00039995080481975944,0.0002510731807496279,9.499242257367398e-05,0.00017458769548127628,8.883461601737436e-05,0.00016766898485946568,0.00014281507899814252,0.00012796844172779635,0.0002429052838553177,0.00012821397023827415,0.00028204371870638797,0.00012066345014767461,0.00012295387694541906,7.75796371356052e-05,-6.47003239771798e-05,-0.06884818838239148
2.1610303506557904e-05,5.650447554382142e-05,0.0001654993936842837,0.00018648414862339508,0.0001517127229350952,0.000381716029977775,0.000247131968508677,9.34295907921979e-05,0.0001671826241291924,7.872340401431106e-05,0.00016091024258846367,0.00013897398592376507,0.00011918777774543196,0.00024358231650237224,0.00011479556745504601,0.00027533481559763323,0.00011471801637179072,0.00011589546341754447,7.121427500698504e-05,-6.805003031299108e-05,-0.06942306803423082
1.9230277451149407e-05,5.457138798672162e-05,0.0001606445190156521,0.00017838548699462682,0.0001435871594461913,0.0003630723562956614,0.00024306568202322304,9.135187076139977e-05,0.00015957869845116578,6.851777237518393e-05,0.00015341054033752877,0.00013483704205897258,0.00011021316033142837,0.00024358231650237224,0.00010130686626204806,0.00026841728423394277,0.00010860248876783437,0.00010866143841003554,6.495833942924653e-05,-7.106856531800522e-05,-0.0699992884236389
1.6407736232606202e-05,5.25561501326985e-05,0.0001554780592525302,0.00016997536505314702,0.00013492397458789165,0.0003441026892402432,0.00023888872824707214,8.877571732356497e-05,0.000151809634811071,5.8259077016140026e-05,0.00014522191764671768,0.00013042178165492967,0.00010109429416039509,0.00024358231650237224,8.78184098901925e-05,0.00026133327289996845,0.0001023337462754044,0.00010126350835328682,5.8846844625770615e-05,-7.373356254746161e-05,-0.07057683305716322
1.3113125259145205e-05,5.046505993158116e-05,0.00015000993500936712,0.00016127181307453578,0.00012575995925630964,0.00032489306229085984,0.00023461603807345082,8.57212265776829e-05,0.00014391031182570455,4.798941191511596e-05,0.00013640249906131255,0.0001257473827207921,9.188127990632126e-05,0.00024344209495629548,7.439948414847441e-05,0.00025412570468960665,9.592937508839186e-05,9.371387321604837e-05,5.291384709216321e-05,-7.602362581029784e-05,-0.07115568530753769
9.321528810949068e-06,4.830506919603466e-05,0.00014425133896082544,0.0001522965967694384,0.00011613648978492518,0.0003055320917353179,0.00023026315206707654,8.221194019567743e-05,0.00013591648091523537,3.775119138291955e-05,0.00012701599225291776,0.00012083460296084728,8.262418048494104e-05,0.00024260091633104063,6.111751533396957e-05,0.0002468379828096806,8.940765672373146e-05,8.602528095702042e-05,4.719217774164821e-05,-7.791845951036922e-05,-0.07173582856102312
5.0131539404833855e-06,4.608372824023532e-05,0.0001382147847328393,0.00014307523353008375,0.00010609920477504423,0.00028611036913109414,0.00022584627054978888,7.827461943918796e-05,0.0001278644569463973,2.7586715780270592e-05,0.00011713110190309416,0.00011570570278332,7.337259127811038e-05,0.0002413349433444337,4.803749322039639e-05,0.0002395136871336299,8.27875535214234e-05,7.821107960541231e-05,4.1713183363856364e-05,-7.939900837350209e-05,-0.07231724637705106
